team_id,player_id,starter_probability,as_of_utc,source,season,needs_human_review,player_name,rank,source_manifest_hash,origin,qb_review_status
MIA,00-0036212,0.8415841584158416,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Tua Tagovailoa,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
MIA,00-0035993,0.1188118811881188,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Tyler Huntley,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
MIA,00-0037327,0.0297029702970297,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Skylar Thompson,3.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
MIA,00-0034177,0.0099009900990099,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Tim Boyle,4.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
MIN,00-0034869,0.8415841584158416,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Sam Darnold,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
MIN,00-0033319,0.1188118811881188,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Nick Mullens,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
MIN,00-0035710,0.0297029702970297,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Daniel Jones,3.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
MIN,00-0034955,0.0099009900990099,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Brett Rypien,4.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
NE,00-0039851,0.85,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Drake Maye,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
NE,00-0033119,0.12,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Jacoby Brissett,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
NE,00-0039398,0.03,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Joe Milton,3.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
NO,00-0031280,0.85,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Derek Carr,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
NO,00-0039376,0.12,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Spencer Rattler,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
NO,00-0038998,0.03,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Jake Haener,3.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
NYG,00-0035704,0.8415841584158416,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Drew Lock,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
NYG,00-0035710,0.1188118811881188,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Daniel Jones,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
NYG,00-0038476,0.0297029702970297,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Tommy DeVito,3.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
NYG,00-0034177,0.0099009900990099,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Tim Boyle,4.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
NYJ,00-0023459,0.8762886597938144,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Aaron Rodgers,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
NYJ,00-0028118,0.1237113402061855,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Tyrod Taylor,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
PHI,00-0036389,0.85,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Jalen Hurts,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
PHI,00-0038102,0.12,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Kenny Pickett,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
