coach_id,unit,residual_value,games,season,team_id,source_manifest_hash
Antonio Pierce,offense,-0.05589688699887923,9,2023,LV,daec211cfe940ff0b8c175d9b16010e7
Chris Tabor,offense,-0.13550970311682708,6,2023,CAR,daec211cfe940ff0b8c175d9b16010e7
Giff Smith,offense,-0.03478060919883897,3,2023,LAC,daec211cfe940ff0b8c175d9b16010e7
Andy Reid,offense,0.05537694557821844,20,2024,KC,daec211cfe940ff0b8c175d9b16010e7
Nick Sirianni,offense,0.1124776968481252,21,2024,PHI,daec211cfe940ff0b8c175d9b16010e7
Raheem Morris,offense,0.027889158513200382,17,2024,ATL,daec211cfe940ff0b8c175d9b16010e7
Sean McDermott,offense,0.18319329610518045,20,2024,BUF,daec211cfe940ff0b8c175d9b16010e7
Matt Eberflus,offense,-0.0882140398697202,17,2024,CHI,daec211cfe940ff0b8c175d9b16010e7
Zac Taylor,offense,0.08387124596995318,17,2024,CIN,daec211cfe940ff0b8c175d9b16010e7
Shane Steichen,offense,-0.0631351405943343,17,2024,IND,daec211cfe940ff0b8c175d9b16010e7
Mike McDaniel,offense,-0.04523622991454228,17,2024,MIA,daec211cfe940ff0b8c175d9b16010e7
Dennis Allen,offense,-0.06318210016795081,17,2024,NO,daec211cfe940ff0b8c175d9b16010e7
Brian Daboll,offense,-0.1134101321975287,17,2024,NYG,daec211cfe940ff0b8c175d9b16010e7
Jim Harbaugh,offense,0.004544666520062267,18,2024,LAC,daec211cfe940ff0b8c175d9b16010e7
Mike Macdonald,offense,-0.03614933491282255,17,2024,SEA,daec211cfe940ff0b8c175d9b16010e7
Kevin Stefanski,offense,-0.18962628793057398,17,2024,CLE,daec211cfe940ff0b8c175d9b16010e7
Todd Bowles,offense,0.12288628302002298,18,2024,TB,daec211cfe940ff0b8c175d9b16010e7
Dan Campbell,offense,0.1582176103531645,18,2024,DET,daec211cfe940ff0b8c175d9b16010e7
Kyle Shanahan,offense,0.0624378011329501,17,2024,SF,daec211cfe940ff0b8c175d9b16010e7
John Harbaugh,offense,0.21271566923947247,19,2024,BAL,daec211cfe940ff0b8c175d9b16010e7
Dave Canales,offense,-0.05948553525877863,17,2024,CAR,daec211cfe940ff0b8c175d9b16010e7
Mike McCarthy,offense,-0.11573213496845676,17,2024,DAL,daec211cfe940ff0b8c175d9b16010e7
Matt LaFleur,offense,0.06426544488236159,18,2024,GB,daec211cfe940ff0b8c175d9b16010e7
Doug Pederson,offense,-0.026449235418759424,17,2024,JAX,daec211cfe940ff0b8c175d9b16010e7
Kevin O'Connell,offense,-0.016192470428318756,18,2024,MIN,daec211cfe940ff0b8c175d9b16010e7
Jerod Mayo,offense,-0.08951887656209699,17,2024,NE,daec211cfe940ff0b8c175d9b16010e7
Brian Callahan,offense,-0.12240797079704936,17,2024,TEN,daec211cfe940ff0b8c175d9b16010e7
Dan Quinn,offense,0.1259056204752086,20,2024,WAS,daec211cfe940ff0b8c175d9b16010e7
Jonathan Gannon,offense,0.06077397020191671,17,2024,ARI,daec211cfe940ff0b8c175d9b16010e7
Sean Payton,offense,0.008285450394425912,18,2024,DEN,daec211cfe940ff0b8c175d9b16010e7
DeMeco Ryans,offense,-0.05134326362171586,19,2024,HOU,daec211cfe940ff0b8c175d9b16010e7
Robert Saleh,offense,-0.019386270272809224,17,2024,NYJ,daec211cfe940ff0b8c175d9b16010e7
Mike Tomlin,offense,-0.03438004567687065,18,2024,PIT,daec211cfe940ff0b8c175d9b16010e7
